成份券代码Constituent Code;成份券名称Constituent Name;权重(%)weight
002459;晶澳科技;0,102
000617;中油资本;0,101
000876;新 希 望;0,101
300832;新产业;0,101
600039;四川路桥;0,1
601618;中国中冶;0,1
601898;中煤能源;0,1
600845;宝信软件;0,099
000999;华润三九;0,097
600023;浙能电力;0,097
688047;龙芯中科;0,097
688223;晶科能源;0,097
688599;天合光能;0,094
000983;山西焦煤;0,093
601872;招商轮船;0,091
600027;华电国际;0,09
600061;国投资本;0,089
600332;白云山;0,087
600918;中泰证券;0,086
603260;合盛硅业;0,086
605117;德业股份;0,085
300316;晶盛机电;0,084
300999;金龙鱼;0,083
600803;新奥股份;0,079
300628;亿联网络;0,078
601698;中国卫通;0,078
601799;星宇股份;0,078
600025;华能水电;0,077
601238;广汽集团;0,077
688303;大全能源;0,077
300413;芒果超媒;0,076
601699;潞安环能;0,076
601607;上海医药;0,074
600018;上港集团;0,073
601059;信达证券;0,073
603806;福斯特;0,071
600026;中远海能;0,065
688009;中国通号;0,063
688472;阿特斯;0,061
000708;中信特钢;0,06
603195;公牛集团;0,059
601236;红塔证券;0,057
601865;福莱特;0,057
688187;时代电气;0,053
601136;首创证券;0,051
688082;盛美上海;0,051
603833;欧派家居;0,044
601808;中海油服;0,038
300979;华利集团;0,037
000800;一汽解放;0,032
600377;宁沪高速;0,032
001391;国货航;0,027
001289;龙源电力;0,012
