date,open,high,low,close,volume,amount,turnover,adj_close_hfq
2024-09-30,54.48,57.09,54.4,57.09,2621254,14733344153.0,2.44,150.88
2024-10-08,62.8,62.8,59.1,61.73,3961043,24440888195.0,3.68,160.16
2024-10-09,60.0,60.0,55.65,55.7,2855096,16431475144.0,2.65,148.1
2024-10-10,56.63,60.59,56.31,58.5,2226730,12981664827.0,2.07,153.7
2024-10-11,57.8,59.86,57.03,57.54,1312124,7645831882.0,1.22,151.78
2024-10-14,58.39,59.24,57.55,58.67,1177738,6884203095.0,1.09,154.04
2024-10-15,58.58,59.28,57.09,57.19,1027900,5988622377.0,0.96,151.08
2024-10-16,56.78,57.83,56.61,57.38,855016,4894961074.0,0.79,151.46
2024-10-17,57.9,58.8,56.97,57.0,783575,4529673855.0,0.73,150.7
2024-10-18,56.08,58.35,54.75,57.18,1494662,8417973824.0,1.39,152.9
2024-10-21,57.4,57.47,56.18,56.9,875313,4966469517.0,0.81,152.34
2024-10-22,56.8,58.2,56.58,57.06,846011,4835443520.0,0.79,152.66
2024-10-23,57.2,59.3,56.9,58.31,1191927,6939592004.0,1.11,155.16
2024-10-24,57.9,58.48,57.63,58.1,512730,2976336249.0,0.48,154.74
2024-10-25,58.01,58.48,57.56,57.7,539445,3122695352.0,0.5,153.94
2024-10-28,57.78,58.06,57.08,57.5,578810,3325855084.0,0.54,153.54
2024-10-29,57.5,58.46,57.44,57.63,620100,3591688618.0,0.58,153.8
2024-10-30,57.49,57.91,55.68,55.97,907479,5123310917.0,0.84,150.48
2024-10-31,55.96,56.8,55.4,55.92,757630,4236922732.0,0.7,150.38
2024-11-01,56.15,57.0,56.0,56.15,650139,3676222858.0,0.6,150.84
2024-11-04,56.17,56.97,55.93,56.97,530740,2993285083.0,0.49,152.48
2024-11-05,56.82,58.88,56.28,58.75,1201144,6976690582.0,1.12,156.04
2024-11-06,58.89,59.05,56.95,57.49,1262518,7311429314.0,1.17,153.52
2024-11-07,57.0,61.0,56.9,60.84,1864263,11055869272.0,1.73,160.22
